poli,relig_attend,lgbt_feel,equal_mar,lgbt_close,age,sex,race,sexori,me1,me2,fvr1,fvr2
4,2,50,4,0,65,1,1,3,3.707,3.712,58.35199999999998,47.493
4,7,50,2,0,53,2,1,3,3.402000000000001,3.27,72.12800000000001,64.568
4,2,50,5,0,33,1,2,3,4.1419999999999995,4.155,57.51399999999999,50.614999999999995
5,7,62.5,4,0,58,2,1,3,3.053000000000001,2.858,64.40899999999999,54.962999999999994
4,1,68,4,5,63,2,1,3,4.206000000000001,4.337,69.404,74.662
4,0,50,4,2,42,2,1,3,4.748,4.783,73.57400000000001,69.85400000000001
5,2,55,4,0,72,1,1,3,3.322,3.2640000000000002,50.225,37.29600000000001
5,7,0,2,0,67,2,1,3,2.8910000000000005,2.6959999999999993,62.572999999999986,52.29899999999999
6,7,50,2,0,58,2,1,3,2.7940000000000005,2.536,57.710000000000015,46.83799999999999
4,0,100,5,2,21,2,2,3,4.985,5.0280000000000005,70.49200000000002,69.72000000000001
4,2,85,5,0,64,2,2,3,3.882999999999999,3.874,61.948,51.432
1,1,100,5,4,62,2,1,3,5.001,4.804,89.70500000000001,82.19500000000001
4,5,50,2,0,66,2,1,3,3.4960000000000004,3.4100000000000006,69.24799999999999,59.30800000000001
4,1,45,4,0,35,2,1,3,4.710000000000001,4.716,75.11600000000001,65.66000000000001
6,8,27.5,2,0,53,2,1,3,2.7199999999999998,2.4390000000000005,58.844,49.023999999999994
6,2,60,5,0,32,2,1,3,4.082,3.9389999999999996,62.443999999999996,51.004000000000005
5,2,55,5,0,23,2,1,2,4.564,4.4270000000000005,78.17500000000003,66.173
2,6,70,5,0,64,1,1,3,3.587,3.626,72.41,66.863
4,5,55,4,0,57,2,1,3,3.6580000000000004,3.5720000000000005,71.084,61.97200000000001
6,5,100,5,11.5,50,2,1,3,3.2659999999999996,5.2965,59.11399999999998,112.493
4,0,60,5,2.5,62,2,1,3,4.388000000000001,4.424500000000001,69.494,65.67699999999999
2,0,70,5,4,30,2,1,3,5.482,5.321000000000001,89.41999999999999,87.50800000000001
1,4,85,2,12,58,2,1,3,4.581,4.323,90.863,84.793
