poli,relig_attend,lgbt_feel,equal_mar,lgbt_close,age,sex,race,sexori
NA,NA,60,NA,8.5,NA,NA,NA,NA
NA,NA,75,NA,0.5,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,50,NA,4,NA,NA,NA,NA
NA,NA,85,NA,2.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,50,NA,4,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,27.5,NA,0,NA,NA,NA,NA
NA,NA,77.5,NA,0.5,NA,NA,NA,NA
NA,NA,85,NA,2.5,NA,NA,NA,NA
NA,NA,NA,NA,1.5,NA,NA,NA,NA
NA,NA,60,NA,0,NA,NA,NA,NA
NA,NA,77.5,NA,0,NA,NA,NA,NA
NA,NA,65,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,45,NA,0.5,NA,NA,NA,NA
NA,NA,45,NA,0,NA,NA,NA,NA
NA,NA,87.5,NA,0,NA,NA,NA,NA
NA,NA,5,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,85,NA,1.5,NA,NA,NA,NA
NA,NA,17.5,NA,2.5,NA,NA,NA,NA
NA,NA,50,NA,1.5,NA,NA,NA,NA
NA,NA,0,NA,2,NA,NA,NA,NA
NA,NA,100,NA,5,NA,NA,NA,NA
NA,NA,22.5,NA,0,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,67.5,NA,2,NA,NA,NA,NA
NA,NA,20,NA,0,NA,NA,NA,NA
NA,NA,50,NA,1.5,NA,NA,NA,NA
NA,NA,72.5,NA,0,NA,NA,NA,NA
NA,NA,100,NA,2.5,NA,NA,NA,NA
NA,NA,87.5,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,55,NA,2,NA,NA,NA,NA
NA,NA,100,NA,1.5,NA,NA,NA,NA
NA,NA,55,NA,2.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,0,NA,0,NA,NA,NA,NA
NA,NA,97.5,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,50,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,32.5,NA,2.5,NA,NA,NA,NA
NA,NA,100,NA,2.5,NA,NA,NA,NA
NA,NA,75,NA,2.5,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,92.5,NA,7,NA,NA,NA,NA
NA,NA,85,NA,1,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,45,NA,2,NA,NA,NA,NA
NA,NA,72.5,NA,4,NA,NA,NA,NA
NA,NA,40,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,85,NA,1.5,NA,NA,NA,NA
NA,NA,67.5,NA,2,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,35,NA,0,NA,NA,NA,NA
NA,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,95,NA,2,NA,NA,NA,NA
NA,NA,54,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,67.5,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,65,NA,0,NA,NA,NA,NA
NA,NA,97.5,NA,5.5,NA,NA,NA,NA
NA,NA,100,NA,4,NA,NA,NA,NA
NA,NA,85,NA,1.5,NA,NA,NA,NA
NA,NA,NA,NA,2,NA,NA,NA,NA
NA,NA,87.5,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,100,NA,10,NA,NA,NA,NA
