age,sex,race,sexori,relig_attend,equal_mar,poli,lgbt_close,lgbt_feel
NA,NA,NA,NA,NA,NA,NA,7,92.5
NA,NA,NA,NA,NA,NA,NA,1,85
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,2,45
NA,NA,NA,NA,NA,NA,NA,4,72.5
NA,NA,NA,NA,NA,NA,NA,0,40
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,1.5,85
NA,NA,NA,NA,NA,NA,NA,2,67.5
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,35
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,2,95
NA,NA,NA,NA,NA,NA,NA,0,54
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,1.5,67.5
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0,65
NA,NA,NA,NA,NA,NA,NA,5.5,97.5
NA,NA,NA,NA,NA,NA,NA,4,100
NA,NA,NA,NA,NA,NA,NA,1.5,85
NA,NA,NA,NA,NA,NA,NA,2,NA
NA,NA,NA,NA,NA,NA,NA,1.5,87.5
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,10,100
NA,NA,NA,NA,NA,NA,NA,2.5,50
NA,NA,NA,NA,NA,NA,NA,2,45
NA,NA,NA,NA,NA,NA,NA,1.5,50
NA,NA,NA,NA,NA,NA,NA,2.5,NA
NA,NA,NA,NA,NA,NA,NA,2.5,50
NA,NA,NA,NA,NA,NA,NA,3,87.5
NA,NA,NA,NA,NA,NA,NA,0,70
NA,NA,NA,NA,NA,NA,NA,1,85
NA,NA,NA,NA,NA,NA,NA,2,NA
NA,NA,NA,NA,NA,NA,NA,0,65
NA,NA,NA,NA,NA,NA,NA,9,85
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,0,92.5
NA,NA,NA,NA,NA,NA,NA,2.5,67.5
NA,NA,NA,NA,NA,NA,NA,0,65
NA,NA,NA,NA,NA,NA,NA,2.5,100
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,3,50
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,1.5,50
NA,NA,NA,NA,NA,NA,NA,1.5,NA
NA,NA,NA,NA,NA,NA,NA,0,30
NA,NA,NA,NA,NA,NA,NA,7,50
NA,NA,NA,NA,NA,NA,NA,2.5,50
NA,NA,NA,NA,NA,NA,NA,4.5,85
NA,NA,NA,NA,NA,NA,NA,0,3
NA,NA,NA,NA,NA,NA,NA,2.5,60
NA,NA,NA,NA,NA,NA,NA,1.5,100
NA,NA,NA,NA,NA,NA,NA,2.5,55
NA,NA,NA,NA,NA,NA,NA,4,77.5
NA,NA,NA,NA,NA,NA,NA,1.5,85
NA,NA,NA,NA,NA,NA,NA,1,50
NA,NA,NA,NA,NA,NA,NA,4.5,85
NA,NA,NA,NA,NA,NA,NA,0.5,0
NA,NA,NA,NA,NA,NA,NA,4.5,100
NA,NA,NA,NA,NA,NA,NA,0,85
NA,NA,NA,NA,NA,NA,NA,2,NA
NA,NA,NA,NA,NA,NA,NA,5.5,100
NA,NA,NA,NA,NA,NA,NA,2,70
NA,NA,NA,NA,NA,NA,NA,1.5,0
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0,22.5
NA,NA,NA,NA,NA,NA,NA,1.5,50
NA,NA,NA,NA,NA,NA,NA,4,92.5
NA,NA,NA,NA,NA,NA,NA,2,100
NA,NA,NA,NA,NA,NA,NA,9,100
NA,NA,NA,NA,NA,NA,NA,2.5,50
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,1.5,85
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,2,15
NA,NA,NA,NA,NA,NA,NA,2,40
NA,NA,NA,NA,NA,NA,NA,0,25
NA,NA,NA,NA,NA,NA,NA,9.5,100
NA,NA,NA,NA,NA,NA,NA,2,37.5
NA,NA,NA,NA,NA,NA,NA,0,77.5
NA,NA,NA,NA,NA,NA,NA,0,60
NA,NA,NA,NA,NA,NA,NA,2.5,100
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,2,85
NA,NA,NA,NA,NA,NA,NA,0,67.5
NA,NA,NA,NA,NA,NA,NA,2.5,77.5
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,4,100
NA,NA,NA,NA,NA,NA,NA,2,15
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,1.5,67.5
NA,NA,NA,NA,NA,NA,NA,2,NA
NA,NA,NA,NA,NA,NA,NA,2.5,70
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,4,50
NA,NA,NA,NA,NA,NA,NA,4,100
NA,NA,NA,NA,NA,NA,NA,0,92.5
NA,NA,NA,NA,NA,NA,NA,0,72.5
NA,NA,NA,NA,NA,NA,NA,3,100
NA,NA,NA,NA,NA,NA,NA,1.5,70
NA,NA,NA,NA,NA,NA,NA,0.5,55
NA,NA,NA,NA,NA,NA,NA,0,40
NA,NA,NA,NA,NA,NA,NA,4,65
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,2.5,15
NA,NA,NA,NA,NA,NA,NA,5,50
NA,NA,NA,NA,NA,NA,NA,2,52.5
NA,NA,NA,NA,NA,NA,NA,0,70
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,2.5,92.5
NA,NA,NA,NA,NA,NA,NA,2.5,75
NA,NA,NA,NA,NA,NA,NA,3,100
NA,NA,NA,NA,NA,NA,NA,2,50
NA,NA,NA,NA,NA,NA,NA,4,100
NA,NA,NA,NA,NA,NA,NA,2.5,77.5
NA,NA,NA,NA,NA,NA,NA,0,65
NA,NA,NA,NA,NA,NA,NA,1.5,50
NA,NA,NA,NA,NA,NA,NA,0,50
